Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-03-15,xyCxIBaRgB,58REE5sJU1,JpRaQiCCMB,Russian Twist,22,5.669911367945497,fake_id_863
2021-10-12,Hqpd7j3PVB,N6zu9IJNBz,Al3AIBYcR9,Leg Raise,7,0.0,fake_id_879
2021-09-17,xGdX7Pot4d,xPS7RzoOGm,R9iUjxuJ8w,Bent Over Barbell Row,12,20.41168092460379,fake_id_870
2021-04-29,qFmcaQSRGt,nNMm3ywt6H,hSzQ3MS16u,Pike Push Up,30,0.0,fake_id_877
2021-03-27,fNDPzXYnSk,3GvUTFN8up,Ld8EMzytSj,Calf Raise,12,0.0,fake_id_848
2021-09-13,QdgOH3uG0M,58REE5sJU1,bU8URR9V3x,Russian Twist,11,6.350300732098956,fake_id_851
2021-11-22,puOFx0klbI,AF7Qq7XK2r,dBhrlVSEPw,Air Squats,7,0.0,fake_id_851
2021-02-25,P3TB9Cg1YW,djuvlRHUvb,pzY7JyZnrZ,Dumbbell Rear Delt Raise,12,9.0,fake_id_837
2021-04-14,4OATNmBtSI,dFycDkJyHe,ZOkwCE3q3H,Dumbbell Shoulder Raise,5,5.669911367945497,fake_id_853
2021-11-03,2GaTVpP0zH,EAjKaB5zWy,u1JC180OEq,Dumbbell Kickbacks,11,4.082336184920758,fake_id_848
2021-08-17,UatmzZgW4z,w5njIJMJHb,aG9GHicp4a,Kettlebell Upright Row,6,9.071858188712795,fake_id_862
2021-12-16,Y7CnNgsIeU,N6zu9IJNBz,55Hg0l3XEB,Leg Raise,4,0.0,fake_id_851
2021-03-13,gFdlFDoDry,fxXbcxfkLt,SmEDCkQdDQ,Exercise Ball Crunch,24,0.0,fake_id_867
2021-10-05,ltvCWGgpE2,zJlvUiMLou,mMna0N0GGY,Barbell Incline Bench Press,4,70.30690096252415,fake_id_838
2021-06-15,Voq2MTcfPp,EAjKaB5zWy,gmluBLhhgw,Dumbbell Kickbacks,8,15.87575183024739,fake_id_835
2021-12-16,LfYU80S5I0,AF7Qq7XK2r,E5vjYwW6aA,Air Squats,20,0.0,fake_id_897
2021-04-28,dG8MDKKTsp,AkKyo5MAvA,9d0sEupk8X,Kettlebell Front Squat,12,18.0,fake_id_858
2021-05-03,Q00IflBWeT,7wof3tzAVY,alwLjTrE0P,Smith Machine Stiff-Legged Deadlift,10,45.35929094356398,fake_id_853
2021-01-22,cB8oOkY325,otjt26R0oL,tIkoW8eW04,Barbell Shoulder Press,7,43.091326396385774,fake_id_838
2021-08-16,lFsIrlyvat,9fptvki4pW,gcAUkivCg2,Barbell Hip Thrust,18,38.55539730202938,fake_id_838
2021-12-27,KK4DGXGk7G,dFycDkJyHe,GcHU1f2YUt,Dumbbell Shoulder Raise,14,9.071858188712795,fake_id_838
